epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.356,1.47597,4.73201,4.95377,1.54523,0,0,0,0,0,0,0,0,0.64166,4.80956,4.55907,1.01296,4.056e-05,4.056e-05,4.056e-05
2,124.583,1.31296,4.09907,4.87212,1.44137,0,0,0,0,0,0,0,0,0.56588,4.36629,4.48681,0.98019,8.22707e-05,8.22707e-05,8.22707e-05
3,190.63,1.22822,3.86722,4.77192,1.38102,0.00806,0.02358,0.00536,0.00525,0.00709,0.01887,0.00469,0.00355,0.58675,4.12997,4.34151,0.98778,0.000123564,0.000123564,0.000123564
4,253.504,1.23486,3.7649,4.68108,1.38794,0.02423,0.21422,0.02539,0.02367,0.02286,0.18728,0.02364,0.01618,0.62515,4.06253,4.07995,1.00719,0.000153683,0.000153683,0.000153683
5,315.488,1.24888,3.76256,4.65067,1.38416,0.02362,0.3144,0.04227,0.03837,0.01812,0.24426,0.02907,0.01846,0.70094,4.06501,3.87003,1.04737,0.000152911,0.000152911,0.000152911
6,377.84,1.20769,3.65926,4.47363,1.366,0.37518,0.07844,0.05589,0.0498,0.37394,0.07558,0.05392,0.03845,0.67325,4.25868,3.69451,1.0194,0.000152139,0.000152139,0.000152139
7,441.065,1.21434,3.60949,4.40199,1.35211,0.32578,0.08218,0.05813,0.0521,0.32157,0.07281,0.05148,0.03703,0.69769,4.12701,3.62791,1.02616,0.000151367,0.000151367,0.000151367
8,502.159,1.24571,3.60465,4.3774,1.36643,0.3735,0.08768,0.07449,0.06676,0.32517,0.07613,0.05707,0.03987,0.65996,3.99397,3.54161,1.01917,0.000150595,0.000150595,0.000150595
9,563.219,1.22841,3.57638,4.26089,1.35871,0.32611,0.1009,0.08552,0.07635,0.32004,0.09562,0.07596,0.05104,0.68127,3.95649,3.58046,1.03731,0.000149822,0.000149822,0.000149822
10,626.881,1.21547,3.53211,4.1933,1.36099,0.3743,0.11131,0.09395,0.08146,0.33316,0.10463,0.08011,0.05548,0.69589,3.95617,3.49054,1.05498,0.00014905,0.00014905,0.00014905
